anio,mes,dia,lat,lon,sst,presion,humedad,viento,cizalladura,hubo_ciclon
2026,07,15,15.0,-75.0,28.7,982.7,63.0,51.9,7.21,0
2026,07,16,15.0,-75.0,28.6,986.8,68.0,49.3,9.42,0
2026,07,17,15.0,-75.0,28.7,990.4,70.0,51.4,11.53,0
2026,07,18,15.0,-75.0,28.5,1003.9,60.0,46.5,9.28,0
2026,07,19,15.0,-75.0,28.5,981.3,85.0,47.1,14.42,0
2026,07,20,15.0,-75.0,28.7,991.0,86.0,40.7,6.86,0
2026,07,21,15.0,-75.0,28.4,988.6,79.0,40.3,5.69,0
2026,07,22,15.0,-75.0,28.5,985.3,60.0,38.9,10.08,0
2026,07,23,15.0,-75.0,28.7,985.0,91.0,38.9,9.61,0
2026,07,24,15.0,-75.0,28.8,1013.5,64.0,43.8,9.08,0
2026,07,25,15.0,-75.0,28.7,997.2,66.0,43.2,9.25,0
2026,07,26,15.0,-75.0,28.6,985.2,90.0,37.5,6.43,0
2026,07,27,15.0,-75.0,29.0,1012.1,86.0,34.8,12.0,0
2026,07,28,15.0,-75.0,28.9,1015.0,71.0,35.6,16.17,0
2026,07,29,15.0,-75.0,28.8,993.5,86.0,43.4,12.32,0
2026,07,30,15.0,-75.0,28.7,1017.9,86.0,48.7,8.87,0
2026,07,31,15.0,-75.0,28.6,998.3,63.0,49.6,6.51,0
2026,08,01,15.0,-75.0,28.5,1008.0,77.0,38.5,8.73,0
2026,08,02,15.0,-75.0,28.7,985.1,68.0,40.2,6.24,0
2026,08,03,15.0,-75.0,28.5,997.9,74.0,40.2,7.99,0
2026,08,04,15.0,-75.0,28.4,1018.0,90.0,39.8,7.68,0
