anio,mes,dia,lat,lon,sst,presion,humedad,viento,cizalladura,hubo_ciclon
2015,01,01,15.0,-75.0,26.6,1006.3,93.0,45.6,7.44,0
2015,01,02,15.0,-75.0,26.6,998.4,61.0,51.3,16.85,0
2015,01,03,15.0,-75.0,26.8,995.6,71.0,52.6,10.64,0
2015,01,04,15.0,-75.0,26.7,1013.2,90.0,51.2,18.46,0
2015,01,05,15.0,-75.0,26.7,998.7,63.0,48.6,8.2,0
2015,01,06,15.0,-75.0,26.6,980.8,78.0,48.2,9.66,0
2015,01,07,15.0,-75.0,26.4,1007.2,67.0,49.1,8.73,0
2015,01,08,15.0,-75.0,26.2,1017.2,79.0,40.5,16.0,0
2015,01,09,15.0,-75.0,26.2,1007.1,62.0,43.3,17.92,0
2015,01,10,15.0,-75.0,26.4,1019.9,84.0,44.5,16.31,0
2015,01,11,15.0,-75.0,26.2,1010.6,87.0,45.2,7.87,0
2015,01,12,15.0,-75.0,26.6,990.4,60.0,44.0,12.42,0
2015,01,13,15.0,-75.0,26.2,1019.7,78.0,40.8,10.67,0
2015,01,14,15.0,-75.0,26.3,994.9,65.0,38.4,9.82,0
2015,01,15,15.0,-75.0,26.5,1010.3,72.0,34.4,17.84,0
2015,01,16,15.0,-75.0,26.3,983.1,74.0,30.9,12.63,0
2015,01,17,15.0,-75.0,26.3,997.5,61.0,25.8,5.23,0
2015,01,18,15.0,-75.0,26.0,987.6,88.0,25.7,17.07,0
2015,01,19,15.0,-75.0,26.2,991.2,92.0,28.3,6.56,0
2015,01,20,15.0,-75.0,26.2,1010.1,75.0,32.8,11.2,0
2015,01,21,15.0,-75.0,26.4,987.6,83.0,31.8,9.48,0
2015,01,22,15.0,-75.0,26.2,987.3,77.0,32.1,9.83,0
2015,01,23,15.0,-75.0,26.2,994.5,80.0,30.6,7.74,0
2015,01,24,15.0,-75.0,26.1,1011.2,80.0,30.2,18.71,0
2015,01,25,15.0,-75.0,26.3,985.0,89.0,34.4,12.32,0
2015,01,26,15.0,-75.0,26.1,1010.4,79.0,35.3,11.94,0
2015,01,27,15.0,-75.0,26.2,998.0,86.0,28.3,14.98,0
2015,01,28,15.0,-75.0,25.5,998.3,94.0,30.1,11.42,0
2015,01,29,15.0,-75.0,26.2,1007.5,70.0,38.1,5.34,0
2015,01,30,15.0,-75.0,26.4,1015.5,74.0,39.4,16.58,0
2015,01,31,15.0,-75.0,25.8,991.9,91.0,33.9,12.9,0
2015,02,01,15.0,-75.0,26.3,982.0,62.0,39.7,18.02,0
2015,02,02,15.0,-75.0,26.6,987.8,79.0,41.8,11.78,0
2015,02,03,15.0,-75.0,26.5,1012.4,88.0,42.8,8.08,0
2015,02,04,15.0,-75.0,26.4,1015.4,80.0,45.4,9.62,0
2015,02,05,15.0,-75.0,26.6,1009.0,67.0,43.1,8.2,0
2015,02,06,15.0,-75.0,26.3,997.5,71.0,32.4,13.82,0
2015,02,07,15.0,-75.0,25.9,1007.0,90.0,27.2,18.39,0
2015,02,08,15.0,-75.0,26.1,1018.0,86.0,27.1,13.39,0
2015,02,09,15.0,-75.0,25.9,1002.2,81.0,23.6,16.01,0
2015,02,10,15.0,-75.0,25.9,1018.8,72.0,13.1,7.96,0
2015,02,11,15.0,-75.0,25.8,1013.0,78.0,18.8,16.32,0
2015,02,12,15.0,-75.0,26.1,984.6,77.0,20.3,12.58,0
2015,02,13,15.0,-75.0,26.2,998.6,68.0,27.0,15.08,0
2015,02,14,15.0,-75.0,26.0,988.8,92.0,29.6,14.23,0
