anio,mes,dia,lat,lon,sst,presion,humedad,viento,cizalladura,hubo_ciclon
2017,01,01,15.0,-75.0,27.2,1005.7,62.0,43.1,8.34,0
2017,01,02,15.0,-75.0,27.3,1017.4,95.0,47.2,14.26,0
2017,01,03,15.0,-75.0,27.3,984.2,81.0,46.3,18.14,0
2017,01,04,15.0,-75.0,27.0,998.5,92.0,38.2,11.39,0
2017,01,05,15.0,-75.0,26.9,999.5,78.0,35.6,5.65,0
2017,01,06,15.0,-75.0,27.0,983.8,95.0,39.6,18.17,0
2017,01,07,15.0,-75.0,27.1,1009.4,90.0,44.5,12.65,0
2017,01,08,15.0,-75.0,27.0,1002.0,74.0,37.2,9.41,0
2017,01,09,15.0,-75.0,26.5,993.7,67.0,40.7,11.16,0
2017,01,10,15.0,-75.0,25.9,1011.8,90.0,45.9,16.85,0
2017,01,11,15.0,-75.0,26.1,1013.5,92.0,47.8,7.18,0
2017,01,12,15.0,-75.0,26.4,996.5,66.0,48.9,19.34,0
2017,01,13,15.0,-75.0,26.4,1010.6,71.0,46.5,17.09,0
2017,01,14,15.0,-75.0,26.0,982.4,73.0,44.8,8.8,0
2017,01,15,15.0,-75.0,26.3,982.8,65.0,43.7,9.79,0
2017,01,16,15.0,-75.0,26.3,984.9,72.0,42.3,9.46,0
2017,01,17,15.0,-75.0,26.3,1001.1,64.0,45.1,5.42,0
2017,01,18,15.0,-75.0,26.4,1000.4,81.0,40.3,8.67,0
2017,01,19,15.0,-75.0,26.1,998.8,77.0,33.7,16.98,0
2017,01,20,15.0,-75.0,26.1,989.3,92.0,27.6,15.87,0
2017,01,21,15.0,-75.0,26.0,994.0,79.0,24.7,10.26,0
2017,01,22,15.0,-75.0,25.9,1012.8,71.0,24.7,15.73,0
2017,01,23,15.0,-75.0,25.8,988.0,66.0,24.1,19.23,0
2017,01,24,15.0,-75.0,26.0,1011.6,81.0,18.6,10.52,0
2017,01,25,15.0,-75.0,26.1,983.2,80.0,29.4,9.66,0
2017,01,26,15.0,-75.0,26.7,997.2,60.0,37.1,18.76,0
2017,01,27,15.0,-75.0,26.6,1008.6,64.0,37.2,10.95,0
2017,01,28,15.0,-75.0,26.5,988.1,93.0,36.8,8.82,0
2017,01,29,15.0,-75.0,26.5,1018.8,88.0,39.2,5.98,0
2017,01,30,15.0,-75.0,26.5,983.0,81.0,35.8,12.38,0
2017,01,31,15.0,-75.0,26.4,1003.3,89.0,38.2,5.07,0
2017,02,01,15.0,-75.0,26.4,987.8,82.0,38.5,12.29,0
2017,02,02,15.0,-75.0,26.5,1014.3,62.0,39.6,9.65,0
2017,02,03,15.0,-75.0,26.0,993.1,76.0,40.6,7.7,0
2017,02,04,15.0,-75.0,26.7,1006.6,95.0,39.6,18.35,0
2017,02,05,15.0,-75.0,26.6,1016.6,66.0,42.0,12.14,0
2017,02,06,15.0,-75.0,26.6,982.5,66.0,44.1,10.79,0
2017,02,07,15.0,-75.0,26.5,1008.6,72.0,40.7,6.6,0
2017,02,08,15.0,-75.0,26.7,1014.2,71.0,45.0,8.81,0
2017,02,09,15.0,-75.0,26.7,992.7,87.0,45.0,13.47,0
2017,02,10,15.0,-75.0,26.4,1003.9,77.0,36.9,7.84,0
2017,02,11,15.0,-75.0,26.5,983.7,61.0,41.5,7.05,0
2017,02,12,15.0,-75.0,26.3,986.1,93.0,39.6,15.08,0
2017,02,13,15.0,-75.0,26.0,1002.4,94.0,32.0,15.03,0
2017,02,14,15.0,-75.0,25.8,1001.2,86.0,27.0,11.52,0
2017,02,15,15.0,-75.0,26.0,981.1,76.0,32.1,11.46,0
2017,02,16,15.0,-75.0,26.3,1009.5,70.0,32.6,18.12,0
2017,02,17,15.0,-75.0,25.9,1001.9,85.0,28.0,18.74,0
2017,02,18,15.0,-75.0,26.0,1018.3,82.0,35.6,6.57,0
2017,02,19,15.0,-75.0,26.1,1007.5,84.0,34.2,13.56,0
2017,02,20,15.0,-75.0,26.0,989.4,77.0,30.1,10.97,0
2017,02,21,15.0,-75.0,26.0,992.6,65.0,19.5,16.05,0
2017,02,22,15.0,-75.0,25.6,987.7,63.0,14.3,18.89,0
2017,02,23,15.0,-75.0,25.4,991.7,70.0,21.7,11.93,0
2017,02,24,15.0,-75.0,26.1,1011.6,94.0,20.9,9.43,0
2017,02,25,15.0,-75.0,26.2,1007.4,84.0,25.3,16.78,0
2017,02,26,15.0,-75.0,26.3,986.9,66.0,31.3,18.61,0
2017,02,27,15.0,-75.0,26.3,1008.6,76.0,39.8,13.88,0
2017,02,28,15.0,-75.0,26.5,1008.3,72.0,41.3,7.42,0
2017,03,01,15.0,-75.0,26.5,983.7,91.0,40.6,11.28,0
2017,03,02,15.0,-75.0,26.4,984.4,63.0,48.4,6.6,0
2017,03,03,15.0,-75.0,26.5,998.2,78.0,46.9,13.71,0
2017,03,04,15.0,-75.0,26.3,998.7,77.0,39.6,11.18,0
2017,03,05,15.0,-75.0,26.3,1006.1,65.0,41.6,16.8,0
2017,03,06,15.0,-75.0,26.3,988.2,84.0,48.8,19.27,0
2017,03,07,15.0,-75.0,25.9,997.9,69.0,52.6,17.83,0
2017,03,08,15.0,-75.0,25.6,1016.1,69.0,49.1,13.4,0
2017,03,09,15.0,-75.0,26.0,1010.6,62.0,48.7,14.35,0
2017,03,10,15.0,-75.0,26.1,993.6,77.0,44.1,8.62,0
2017,03,11,15.0,-75.0,26.1,987.3,84.0,35.5,14.84,0
2017,03,12,15.0,-75.0,26.2,981.4,92.0,35.3,5.88,0
2017,03,13,15.0,-75.0,26.3,1004.0,60.0,33.9,18.58,0
2017,03,14,15.0,-75.0,26.3,1008.3,64.0,34.3,12.61,0
2017,03,15,15.0,-75.0,26.4,1012.6,91.0,31.2,6.05,0
