anio,mes,dia,lat,lon,sst,presion,humedad,viento,cizalladura,hubo_ciclon
2026,7,22,15.0,-75.0,28.82,998.1,94.0,18.2,28.4,0
2026,7,23,15.0,-75.0,28.17,989.9,90.0,82.8,12.8,0
2026,7,24,15.0,-75.0,30.98,1000.5,73.0,88.7,16.9,0
2026,7,25,15.0,-75.0,28.01,1017.5,75.0,30.3,26.2,0
2026,7,26,15.0,-75.0,28.05,998.9,72.0,29.8,9.6,0
2026,7,27,15.0,-75.0,26.22,1005.7,69.0,25.7,26.8,0
2026,7,28,15.0,-75.0,27.11,999.6,93.0,17.3,18.9,0
2026,7,29,15.0,-75.0,27.94,994.3,80.0,15.6,29.0,0
2026,7,30,15.0,-75.0,27.06,998.8,80.0,103.4,13.5,0
2026,7,31,15.0,-75.0,29.16,983.8,71.0,108.5,19.6,0
2026,8,1,15.0,-75.0,28.43,989.8,66.0,86.3,8.1,0
2026,8,2,15.0,-75.0,29.48,985.0,68.0,42.6,6.7,0
2026,8,3,15.0,-75.0,30.96,985.2,68.0,15.1,29.4,0
2026,8,4,15.0,-75.0,29.54,1010.8,80.0,79.5,2.7,0
